Dataset,number_bands,beta,rep,accuracy
indianpines,8,5.0,1,0.7116531165311654
indianpines,8,10.0,1,0.6989701897018971
indianpines,8,1.0,2,0.734959349593496
indianpines,8,3.0,2,0.7358265582655826
indianpines,8,5.0,2,0.7154471544715447
indianpines,8,10.0,2,0.6966937669376694
indianpines,8,1.0,3,0.7378861788617886
indianpines,8,3.0,3,0.7270460704607046
indianpines,8,5.0,3,0.7258536585365853
indianpines,8,10.0,3,0.6944173441734417
indianpines,8,1.0,4,0.7436314363143631
indianpines,8,3.0,4,0.7273712737127371
indianpines,8,5.0,4,0.716639566395664
indianpines,8,10.0,4,0.6994037940379404
indianpines,8,1.0,5,0.7305149051490515
indianpines,8,3.0,5,0.7400542005420054
indianpines,8,5.0,5,0.7235772357723578
indianpines,8,10.0,5,0.7047154471544715
indianpines,8,1.0,6,0.7014634146341463
indianpines,8,3.0,6,0.7266124661246612
indianpines,8,5.0,6,0.7142547425474255
indianpines,8,10.0,6,0.7106775067750678
indianpines,8,1.0,7,0.7418970189701897
indianpines,8,3.0,7,0.7268292682926829
indianpines,8,5.0,7,0.7157723577235773
indianpines,8,10.0,7,0.6991869918699187
indianpines,8,1.0,8,0.7447154471544716
indianpines,8,3.0,8,0.7309485094850948
indianpines,8,5.0,8,0.73289972899729
indianpines,8,10.0,8,0.6801084010840108
indianpines,8,1.0,9,0.7284552845528456
indianpines,8,3.0,9,0.7195663956639566
indianpines,8,5.0,9,0.7060162601626017
indianpines,8,10.0,9,0.6951761517615176
indianpines,10,1.0,0,0.7517615176151762
indianpines,10,3.0,0,0.7116531165311654
indianpines,10,5.0,0,0.711869918699187
indianpines,10,10.0,0,0.6665582655826559
indianpines,10,1.0,1,0.746449864498645
indianpines,10,3.0,1,0.7479674796747967
indianpines,10,5.0,1,0.7067750677506776
indianpines,10,10.0,1,0.6899728997289973
indianpines,10,1.0,2,0.7655284552845528
indianpines,10,3.0,2,0.749810298102981
indianpines,10,5.0,2,0.722059620596206
indianpines,10,10.0,2,0.6900813008130081
indianpines,10,1.0,3,0.7687804878048781
indianpines,10,3.0,3,0.7422222222222222
indianpines,10,5.0,3,0.728780487804878
indianpines,10,10.0,3,0.684119241192412
indianpines,10,1.0,4,0.7163143631436314
indianpines,10,3.0,4,0.7229268292682927
indianpines,10,5.0,4,0.671869918699187
indianpines,10,10.0,4,0.6777235772357724
indianpines,10,1.0,5,0.7305149051490515
indianpines,10,3.0,5,0.7391869918699187
indianpines,10,5.0,5,0.7237940379403794
indianpines,10,10.0,5,0.7052574525745258
indianpines,10,1.0,6,0.724769647696477
indianpines,10,3.0,6,0.7250948509485095
indianpines,10,5.0,6,0.7068834688346883
indianpines,10,10.0,6,0.7004878048780487
indianpines,10,1.0,7,0.7766937669376693
indianpines,10,3.0,7,0.7485094850948509
indianpines,10,5.0,7,0.7248780487804878
indianpines,10,10.0,7,0.6988617886178862
indianpines,10,1.0,8,0.7757181571815718
indianpines,10,3.0,8,0.6992953929539295
indianpines,10,5.0,8,0.7262872628726287
indianpines,10,10.0,8,0.6780487804878049
indianpines,10,1.0,9,0.7215176151761518
indianpines,10,3.0,9,0.7424390243902439
indianpines,10,5.0,9,0.7076422764227642
indianpines,10,10.0,9,0.6740379403794038
indianpines,12,1.0,0,0.7710569105691056
indianpines,12,3.0,0,0.7632520325203253
indianpines,12,5.0,0,0.7221680216802168
indianpines,12,10.0,0,0.691490514905149
indianpines,12,1.0,1,0.764010840108401
indianpines,12,3.0,1,0.7204336043360433
indianpines,12,5.0,1,0.7192411924119241
indianpines,12,10.0,1,0.6970189701897019
indianpines,12,1.0,2,0.7615176151761518
indianpines,12,3.0,2,0.7624932249322494
indianpines,12,5.0,2,0.7128455284552846
indianpines,12,10.0,2,0.7041734417344173
indianpines,12,1.0,3,0.7705149051490515
indianpines,12,3.0,3,0.754579945799458
indianpines,12,5.0,3,0.7127371273712737
indianpines,12,10.0,3,0.7025474254742547
